,Assembly,bipar,error,fn,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC,Marker lineage,# genomes,# markers,# marker sets,Completeness,Contamination,Strain heterogeneity,Genome size (bp),# ambiguous bases,# scaffolds,# contigs_x,N50 (scaffolds),N50 (contigs),Mean scaffold length (bp),Mean contig length (bp),Longest scaffold (bp),Longest contig (bp),GC,GC std (scaffolds > 1kbp),Coding density,Translation table,# predicted genes,0,1,2,3,4,5+,Unnamed: 29,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs_y,Largest contig,Total length,GC (%),N50,N75,L50,L75,# N's per 100 kbp
248,G900115845,10069,0,0.0,5216,5001,38,kingdom,1.0,0.96,0.0,0.0,0.0,0.9,0.86,True,o__Bacillales (UID828),139,508,174,99.27,2.07,0.0,5118421,2946,38,46,293230,293230,134695,111205,856333,856333,36.5,1.51,83.61,11,5180,3,499,6,0,0,0,,38,38,37,35,29,20,5118421,5118421,5114490,5095802,4984886,4632627,38,856333,5118421,36.5,293230,146998,6,12,57.56
249,G000188155,10069,1,0.0001,4589,4559,6,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,o__Rhizobiales (UID3654),92,478,316,99.68,0.86,20.0,4726034,103,6,7,4316162,3131806,787672,675133,4316162,3131806,62.82,1.76,86.21,11,4644,1,472,5,0,0,0,,6,6,6,6,6,4,4726034,4726034,4726034,4726034,4726034,4657821,6,4316162,4726034,62.82,4316162,4316162,1,1,2.18
250,G001429705,10069,4,0.0004,2445,2423,2,kingdom,1.0,0.99,0.0,0.0,0.0,0.96,0.95,True,o__Actinomycetales (UID1593),69,400,198,99.44,0.0,0.0,2591554,757,2,14,1578649,485235,1295777,185056,1578649,858490,71.9,0.02,92.58,11,2436,2,398,0,0,0,0,,2,2,2,2,2,2,2591554,2591554,2591554,2591554,2591554,2591554,2,1578649,2591554,71.9,1578649,1012905,1,2,29.21
251,G001437845,10069,0,0.0,1383,1319,311,family,0.85,0.81,0.37,0.04,0.08,0.67,0.54,True,o__Actinomycetales (UID1696),455,315,190,72.45,4.85,44.44,1101056,0,311,311,5183,5183,3540,3540,25328,25328,44.37,1.44,94.58,11,1386,72,227,15,1,0,0,,311,311,67,12,1,0,1101056,1101056,570853,190622,25328,0,311,25328,1101056,44.37,5183,2559,64,138,0.0
252,G000829435,10069,2,0.0002,3726,3642,23,kingdom,1.0,0.98,0.0,0.0,0.0,0.99,0.97,True,c__Bacilli (UID259),750,275,151,99.34,1.1,0.0,3776953,0,24,24,525494,525494,157373,157373,892462,892462,39.73,5.14,82.46,11,3731,1,271,3,0,0,0,,24,20,16,15,14,13,3776953,3774415,3767693,3761190,3742839,3699740,24,892462,3776953,39.73,525494,288507,3,5,0.0
253,G002018045,10069,2,0.0002,1508,1379,84,phylum,0.97,0.89,0.07,0.08,0.17,0.77,0.68,True,p__Cyanobacteria (UID2143),129,472,368,79.21,0.27,100.0,1500513,9056,84,104,24864,20278,17863,14340,69209,69209,60.37,1.91,89.09,11,1568,85,386,1,0,0,0,,84,84,75,53,19,2,1500513,1500513,1469042,1308681,703073,125982,84,69209,1500513,60.37,24864,16204,21,40,603.53
254,G000648175,10069,2,0.0002,2876,2800,127,kingdom,1.0,0.97,0.0,0.0,0.0,0.95,0.93,True,o__Lactobacillales (UID544),293,475,267,99.63,0.19,0.0,2913733,0,129,129,38622,38622,22587,22587,119368,119368,37.18,2.97,88.35,11,2820,1,473,1,0,0,0,,129,117,100,82,44,13,2913733,2906044,2863993,2724563,2095472,979583,129,119368,2913733,37.18,38622,22766,25,48,0.0
255,G000248095,10069,7,0.0007,2236,2116,2,kingdom,1.0,0.95,0.0,0.0,0.0,0.94,0.89,True,o__Lactobacillales (UID355),490,336,184,99.18,0.65,0.0,2434610,0,2,2,2326299,2326299,1217305,1217305,2326299,2326299,46.1,5.57,85.15,11,2222,2,332,2,0,0,0,,2,2,2,2,2,2,2434610,2434610,2434610,2434610,2434610,2434610,2,2326299,2434610,46.1,2326299,2326299,1,1,0.04
256,G000292245,10069,1,0.0001,4397,4213,177,kingdom,1.0,0.96,0.0,0.0,0.0,0.95,0.91,True,c__Bacilli (UID257),764,273,151,96.69,2.43,0.0,4370295,0,182,182,50909,50909,24012,24012,134220,134220,37.39,2.91,81.58,11,4315,5,262,6,0,0,0,,182,165,138,116,61,32,4370295,4358289,4296204,4129741,3227389,2220785,182,134220,4370295,37.39,50909,24573,32,64,0.0
257,G001278705,10069,7,0.0007,4671,4563,1,kingdom,1.0,0.98,0.0,0.0,0.0,0.97,0.94,True,g__Bacillus (UID856),101,682,227,97.56,3.64,0.0,4597707,420,1,4,4597707,2791627,4597707,1149321,4597707,2791627,40.44,0.0,83.97,11,4669,8,659,14,1,0,0,,1,1,1,1,1,1,4597707,4597707,4597707,4597707,4597707,4597707,1,4597707,4597707,40.44,4597707,4597707,1,1,9.13
258,G900130035,10069,0,0.0,2790,2766,11,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,f__Flavobacteriaceae (UID2845),53,548,298,96.85,0.9,33.33,3242070,256,11,12,707963,707963,294733,270151,963074,963074,31.22,4.59,91.96,11,2763,12,530,6,0,0,0,,11,11,10,9,9,8,3242070,3242070,3239413,3233827,3233827,3200168,11,963074,3242070,31.22,707963,428113,2,4,7.9
259,G000317085,10069,2,0.0002,3691,3648,3,kingdom,1.0,0.99,0.0,0.0,0.0,0.97,0.95,True,p__Cyanobacteria (UID2182),89,544,424,99.76,0.0,0.0,3583735,0,3,3,3510253,3510253,1194578,1194578,3510253,3510253,40.62,0.72,87.72,11,3673,2,542,0,0,0,0,,3,3,3,3,2,2,3583735,3583735,3583735,3583735,3573525,3573525,3,3510253,3583735,40.62,3510253,3510253,1,1,0.0
260,G000990965,10069,1,0.0001,678,676,14,kingdom,1.0,1.0,0.0,0.0,0.0,0.99,0.98,True,k__Bacteria (UID2495),2993,143,89,68.69,1.12,0.0,651317,0,14,14,64283,64283,46522,46522,104571,104571,34.76,1.09,90.53,11,680,38,104,1,0,0,0,,14,14,14,13,11,6,651317,651317,651317,645208,618176,453047,14,104571,651317,34.76,64283,41559,4,7,0.0
261,G000283915,10069,0,0.0,1031,1010,1,kingdom,1.0,0.98,0.0,0.0,0.0,0.96,0.94,True,o__Rickettsiales (UID3809),83,324,211,100.0,0.0,0.0,1150228,0,1,1,1150228,1150228,1150228,1150228,1150228,1150228,31.01,0.0,75.24,11,1032,0,324,0,0,0,0,,1,1,1,1,1,1,1150228,1150228,1150228,1150228,1150228,1150228,1,1150228,1150228,31.01,1150228,1150228,1,1,0.0
262,G001438725,10069,1,0.0001,2145,2068,151,genus,0.97,0.94,0.55,0.15,0.34,0.86,0.81,False,o__Lactobacillales (UID462),85,367,162,99.38,0.02,0.0,2114096,0,157,157,37923,37923,13465,13465,163763,163763,38.61,2.86,86.91,11,2109,1,365,1,0,0,0,,157,118,68,51,25,8,2114096,2094195,1970633,1842573,1409937,796145,157,163763,2114096,38.61,37923,19844,14,33,0.0
263,G001001285,10069,0,0.0,815,801,28,kingdom,1.0,0.98,0.0,0.0,0.0,0.96,0.94,True,k__Bacteria (UID203),5449,104,58,75.99,0.0,0.0,755799,36,28,29,82346,82346,26992,26060,111666,111666,44.12,2.82,92.09,11,842,16,88,0,0,0,0,,28,28,28,16,9,4,755799,755799,755799,660441,558752,388186,28,111666,755799,44.12,82346,19424,4,10,4.76
264,G001005215,10069,3,0.0003,2829,2785,41,kingdom,1.0,0.98,0.0,0.0,0.0,0.97,0.95,True,o__Burkholderiales (UID4000),193,427,214,100.0,1.17,0.0,3158922,0,41,41,165853,165853,77046,77046,275880,275880,63.46,4.52,88.28,11,2840,0,425,1,1,0,0,,41,39,34,31,26,20,3158922,3157091,3147925,3126730,3034958,2811496,41,275880,3158922,63.46,165853,87369,8,14,0.0
265,G002007645,10069,2,0.0002,3501,3392,1,kingdom,1.0,0.97,0.0,0.0,0.0,0.99,0.96,True,k__Bacteria (UID2565),2921,143,88,97.73,4.55,0.0,4250973,0,1,1,4250973,4250973,4250973,4250973,4250973,4250973,51.98,0.0,88.77,11,3500,2,139,1,0,1,0,,1,1,1,1,1,1,4250973,4250973,4250973,4250973,4250973,4250973,1,4250973,4250973,51.98,4250973,4250973,1,1,0.0
266,G900111915,10069,0,0.0,3212,2939,24,genus,0.85,0.78,0.17,0.08,0.18,0.81,0.63,True,f__Veillonellaceae (UID1032),33,423,214,100.0,0.0,0.0,3300102,975,24,26,384315,384315,137504,126889,841179,841179,49.33,3.05,89.1,11,3208,0,423,0,0,0,0,,24,24,21,19,17,14,3300102,3300102,3292314,3277342,3242214,3117042,24,841179,3300102,49.33,384315,174005,3,7,29.54
267,G900119765,10069,1,0.0001,3170,3106,1,kingdom,1.0,0.98,0.0,0.0,0.0,0.95,0.93,True,c__Gammaproteobacteria (UID4388),66,444,262,100.0,0.19,0.0,3530817,0,1,1,3530817,3530817,3530817,3530817,3530817,3530817,38.38,0.0,88.32,11,3161,0,443,1,0,0,0,,1,1,1,1,1,1,3530817,3530817,3530817,3530817,3530817,3530817,1,3530817,3530817,38.38,3530817,3530817,1,1,0.0
268,G001708975,10069,1,0.0001,4015,3924,10,kingdom,1.0,0.98,0.0,0.0,0.0,0.99,0.96,True,c__Gammaproteobacteria (UID4274),112,577,287,99.59,1.74,0.0,4503078,0,10,10,3866231,3866231,450307,450307,3866231,3866231,52.0,4.6,86.48,11,4060,2,568,7,0,0,0,,10,7,5,5,5,5,4503078,4500874,4496178,4496178,4496178,4496178,10,3866231,4503078,52.0,3866231,3866231,1,1,0.0
269,G000404225,10069,6,0.0006,1840,1793,1,kingdom,1.0,0.97,0.0,0.0,0.0,0.99,0.96,True,p__Euryarchaeota (UID3),148,187,124,98.79,0.81,0.0,1931651,0,1,1,1931651,1931651,1931651,1931651,1931651,1931651,41.26,0.0,88.29,11,1855,2,184,1,0,0,0,,1,1,1,1,1,1,1931651,1931651,1931651,1931651,1931651,1931651,1,1931651,1931651,41.26,1931651,1931651,1,1,0.0
270,G000241345,10069,2,0.0002,4692,4642,81,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.97,True,o__Actinomycetales (UID1814),148,572,276,99.21,0.79,60.0,5306375,0,83,83,117263,117263,63932,63932,326982,326982,67.45,2.06,90.48,11,4696,4,563,5,0,0,0,,83,74,64,61,49,39,5306375,5302973,5283427,5261567,5054441,4660022,83,326982,5306375,67.45,117263,82343,16,29,0.0
271,G000165465,10069,0,0.0,2140,2125,1,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.98,True,p__Firmicutes (UID241),930,209,115,100.0,0.87,0.0,2309262,0,1,1,2309262,2309262,2309262,2309262,2309262,2309262,30.29,0.0,89.19,11,2119,0,208,1,0,0,0,,1,1,1,1,1,1,2309262,2309262,2309262,2309262,2309262,2309262,1,2309262,2309262,30.29,2309262,2309262,1,1,0.0
272,G001610875,10069,4,0.0004,5281,5113,1,kingdom,1.0,0.97,0.0,0.0,0.0,0.99,0.96,True,k__Bacteria (UID2565),2921,140,85,98.75,3.53,0.0,6534136,0,1,1,6534136,6534136,6534136,6534136,6534136,6534136,54.25,0.0,89.5,11,5341,2,135,3,0,0,0,,1,1,1,1,1,1,6534136,6534136,6534136,6534136,6534136,6534136,1,6534136,6534136,54.25,6534136,6534136,1,1,0.0
273,G001824435,10069,0,0.0,1132,1088,29,kingdom,1.0,0.96,0.0,0.0,0.0,0.97,0.93,True,k__Bacteria (UID1452),924,160,109,58.69,0.0,0.0,1210108,484,29,49,61090,51443,41727,24686,121941,86324,48.12,1.62,87.31,11,1170,51,109,0,0,0,0,,29,29,29,24,19,11,1210108,1210108,1210108,1167512,1101316,819937,29,121941,1210108,48.12,61090,42284,8,13,40.0
274,G001825445,10069,0,0.0,786,769,19,kingdom,1.0,0.98,0.0,0.0,0.0,0.99,0.96,True,k__Bacteria (UID203),5449,104,58,76.15,0.0,0.0,733524,200,19,21,72331,72331,38606,34920,140093,140093,38.5,2.1,88.11,11,803,16,88,0,0,0,0,,19,19,19,16,9,5,733524,733524,733524,711049,593881,459222,19,140093,733524,38.5,72331,31280,4,8,27.27
275,G001830015,10069,1,0.0001,2057,2035,14,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,k__Bacteria (UID2328),3167,126,75,98.67,1.78,0.0,2161296,15,14,15,303431,303431,154378,144085,464653,464653,34.62,0.85,92.6,11,2042,1,123,2,0,0,0,,14,14,14,14,11,11,2161296,2161296,2161296,2161296,2109327,2109327,14,464653,2161296,34.62,303431,148256,3,6,0.69
276,G001782685,10069,4,0.0004,685,648,63,phylum,0.92,0.87,0.39,0.1,0.22,0.87,0.76,True,k__Bacteria (UID1452),924,151,101,48.51,0.0,0.0,634919,478,63,71,10379,9681,10078,8935,25985,24758,36.99,1.95,90.5,11,704,56,95,0,0,0,0,,63,63,63,22,1,0,634919,634919,634919,340919,25985,0,63,25985,634919,36.99,10379,7515,20,39,75.29
277,G000348805,10069,0,0.0,590,586,1,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,k__Bacteria (UID2565),2921,143,85,97.58,0.0,0.0,632490,0,1,1,632490,632490,632490,632490,632490,632490,26.41,0.0,94.64,11,588,3,140,0,0,0,0,,1,1,1,1,1,1,632490,632490,632490,632490,632490,632490,1,632490,632490,26.41,632490,632490,1,1,0.0
278,G000424365,10069,0,0.0,3649,3520,67,genus,0.91,0.88,0.14,0.06,0.12,0.91,0.8,True,f__Lachnospiraceae (UID1286),57,420,207,99.46,0.48,0.0,4092878,3015,68,75,114983,113561,60189,54531,466111,466111,41.62,3.05,88.28,11,3630,2,417,1,0,0,0,,68,68,54,52,39,25,4092878,4092878,4060508,4046763,3824058,3346883,68,466111,4092878,41.62,114983,68999,9,21,73.66
279,G000172095,10069,11,0.0011,4089,4023,105,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.97,True,f__Rhodobacteraceae (UID3360),56,582,313,99.68,0.0,0.0,4105524,0,105,105,473154,473154,39100,39100,1621674,1621674,59.52,3.28,89.37,11,4086,1,581,0,0,0,0,,105,104,54,30,15,9,4105524,4104541,3965385,3803680,3550370,3350033,105,1621674,4105524,59.52,473154,105108,2,6,0.0
280,G000767275,10069,1,0.0001,2109,2079,1,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.97,True,k__Bacteria (UID209),5443,102,57,96.49,0.0,0.0,2237377,0,1,1,2237377,2237377,2237377,2237377,2237377,2237377,40.75,0.0,91.15,11,2086,2,100,0,0,0,0,,1,1,1,1,1,1,2237377,2237377,2237377,2237377,2237377,2237377,1,2237377,2237377,40.75,2237377,2237377,1,1,0.0
281,G001438125,10069,4,0.0004,1784,1758,108,family,0.99,0.97,0.08,0.08,0.17,0.97,0.94,True,s__algicola (UID2847),33,496,263,93.58,1.08,14.29,1915951,0,109,109,28212,28212,17577,17577,88771,88771,44.13,2.21,93.34,11,1802,32,457,7,0,0,0,,109,109,79,64,25,7,1915951,1915951,1839039,1732214,1079160,449039,109,88771,1915951,44.13,28212,17135,21,43,0.0
282,G000173975,10069,0,0.0,2945,2845,169,family,0.96,0.92,0.55,0.1,0.21,0.96,0.89,False,o__Clostridiales (UID1212),172,263,149,99.33,1.34,50.0,3290996,0,175,175,33110,33110,18805,18805,194898,194898,38.19,2.63,83.81,11,2880,1,260,2,0,0,0,,175,159,118,93,42,13,3290996,3280060,3162135,2977195,2086915,1047603,175,194898,3290996,38.19,33110,20626,28,59,0.0
283,G000702885,10069,1,0.0001,3257,3143,95,genus,0.93,0.9,0.2,0.1,0.22,0.87,0.78,True,o__Clostridiales (UID1226),155,278,158,98.52,0.0,0.0,3697107,0,95,95,149040,149040,38916,38916,313831,313831,42.46,3.61,85.77,11,3201,3,275,0,0,0,0,,95,95,64,47,30,20,3697107,3697107,3622620,3504612,3220243,2861449,95,313831,3697107,42.46,149040,58249,8,19,0.0
284,G000830925,10069,0,0.0,1555,1468,1,kingdom,1.0,0.94,0.0,0.0,0.0,0.85,0.8,True,k__Bacteria (UID1452),924,151,101,99.01,0.0,0.0,1486678,0,1,1,1486678,1486678,1486678,1486678,1486678,1486678,46.93,0.0,89.93,11,1557,1,150,0,0,0,0,,1,1,1,1,1,1,1486678,1486678,1486678,1486678,1486678,1486678,1,1486678,1486678,46.93,1486678,1486678,1,1,0.0
285,G000013125,10069,1,0.0001,1242,1116,1,kingdom,1.0,0.9,0.0,0.0,0.0,0.98,0.88,True,o__Rickettsiales (UID3811),63,368,234,99.57,3.5,90.91,1471282,0,1,1,1471282,1471282,1471282,1471282,1471282,1471282,41.64,0.0,71.99,11,1256,1,356,11,0,0,0,,1,1,1,1,1,1,1471282,1471282,1471282,1471282,1471282,1471282,1,1471282,1471282,41.64,1471282,1471282,1,1,0.0
286,G000759655,10069,7,0.0007,3078,2784,373,order,0.88,0.79,0.24,0.22,0.58,0.63,0.5,True,o__Rhodospirillales (UID3754),63,336,201,83.79,0.0,0.0,2989625,100060,376,1520,12041,3781,7951,1901,67369,29677,68.49,2.94,78.94,11,3157,50,286,0,0,0,0,,376,376,203,106,14,3,2989625,2989625,2555739,1876405,500717,174759,376,67369,2989625,68.49,12041,6997,71,151,3346.91
287,G001563795,10069,9,0.0009,2542,2517,152,genus,0.98,0.97,0.03,0.02,0.04,0.98,0.95,True,f__Halobacteriaceae (UID96),40,417,263,91.59,3.22,35.71,2368236,0,152,152,20650,20650,15580,15580,73161,73161,57.8,1.85,89.27,11,2570,41,362,14,0,0,0,,152,152,152,87,23,6,2368236,2368236,2368236,1915406,911879,363205,152,73161,2368236,57.8,20650,11492,35,74,0.0
288,G000744255,10069,0,0.0,2461,2407,1,kingdom,1.0,0.98,0.0,0.0,0.0,0.91,0.89,True,o__Lactobacillales (UID355),490,334,183,99.45,0.55,0.0,2619222,0,1,1,2619222,2619222,2619222,2619222,2619222,2619222,35.1,0.0,87.6,11,2433,1,331,2,0,0,0,,1,1,1,1,1,1,2619222,2619222,2619222,2619222,2619222,2619222,1,2619222,2619222,35.1,2619222,2619222,1,1,0.0
289,G001508115,10069,0,0.0,2145,2127,203,genus,0.98,0.98,0.26,0.03,0.06,0.99,0.96,True,k__Bacteria (UID209),5443,104,58,98.28,0.86,0.0,2025630,0,203,203,14087,14087,9978,9978,50863,50863,38.7,1.12,95.02,11,2147,1,102,1,0,0,0,,203,203,137,69,14,1,2025630,2025630,1788810,1281138,421422,50863,203,50863,2025630,38.7,14087,8024,46,96,0.0
290,G001870225,10069,3,0.0003,3105,2949,1,kingdom,1.0,0.95,0.0,0.0,0.0,0.98,0.93,True,k__Bacteria (UID1453),901,171,117,98.29,0.0,0.0,3049282,52461,1,87,3049282,82586,3049282,34446,3049282,199157,52.23,0.0,86.41,11,3055,2,169,0,0,0,0,,1,1,1,1,1,1,3049282,3049282,3049282,3049282,3049282,3049282,1,3049282,3049282,52.23,3049282,3049282,1,1,1720.44
291,G001562125,10069,0,0.0,3964,3911,1,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.96,True,c__Gammaproteobacteria (UID4761),52,693,297,99.84,0.28,0.0,4696291,0,1,1,4696291,4696291,4696291,4696291,4696291,4696291,43.58,0.0,88.44,11,3955,2,689,2,0,0,0,,1,1,1,1,1,1,4696291,4696291,4696291,4696291,4696291,4696291,1,4696291,4696291,43.58,4696291,4696291,1,1,0.0
292,G000252485,10069,1,0.0001,5560,4934,666,phylum,0.96,0.86,0.13,0.04,0.08,0.65,0.55,True,p__Cyanobacteria (UID2192),79,584,458,98.18,0.51,0.0,5686559,24,690,690,16147,16147,8241,8241,64281,64281,41.9,2.51,77.69,11,5648,10,571,3,0,0,0,,690,577,332,210,41,4,5686559,5606596,4937290,4087471,1428960,234674,690,64281,5686559,41.9,16147,8768,113,229,0.42
293,G001292625,10069,3,0.0003,3944,3934,28,kingdom,1.0,1.0,0.0,0.0,0.0,0.99,0.99,True,f__Rhodobacteraceae (UID3360),56,582,313,99.57,0.0,0.0,4049808,0,28,28,307914,307914,144636,144636,1028577,1028577,57.22,4.24,90.85,11,3999,2,580,0,0,0,0,,28,28,19,18,17,15,4049808,4049808,4034082,4028115,4012431,3929173,28,1028577,4049808,57.22,307914,210585,4,8,0.0
294,G900110905,10069,0,0.0,2195,2172,55,genus,0.93,0.92,0.35,0.06,0.14,0.98,0.9,True,c__Gammaproteobacteria (UID4387),965,277,177,100.0,0.0,0.0,2321308,603,57,59,101409,101409,40724,39333,166251,166251,42.3,2.63,88.66,11,2167,0,277,0,0,0,0,,57,57,46,42,26,16,2321308,2321308,2306050,2275947,1974353,1623528,57,166251,2321308,42.3,101409,44319,10,19,25.98
295,G000168295,10069,0,0.0,1470,1450,2,kingdom,1.0,0.99,0.0,0.0,0.0,0.97,0.96,True,c__Gammaproteobacteria (UID4266),1097,270,172,93.02,1.16,100.0,1581239,0,2,2,1566411,1566411,790619,790619,1566411,1566411,37.87,1.61,89.59,11,1450,13,254,3,0,0,0,,2,2,2,2,1,1,1581239,1581239,1581239,1581239,1566411,1566411,2,1566411,1581239,37.87,1566411,1566411,1,1,0.0
296,G001969465,10069,0,0.0,2319,2283,1,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.97,True,o__Actinomycetales (UID1812),229,457,227,98.24,1.32,100.0,2435437,300,1,6,2435437,649936,2435437,405856,2435437,1119801,52.21,0.0,88.08,11,2360,7,446,4,0,0,0,,1,1,1,1,1,1,2435437,2435437,2435437,2435437,2435437,2435437,1,2435437,2435437,52.21,2435437,2435437,1,1,12.32
297,G001007625,10069,0,0.0,2380,2053,324,order,0.83,0.72,0.91,0.04,0.08,0.77,0.55,False,p__Cyanobacteria (UID2143),129,472,368,87.36,0.0,0.0,2271413,32177,326,848,9322,4818,6967,2640,85098,28005,58.72,3.76,83.35,11,2677,56,416,0,0,0,0,,326,326,159,55,7,1,2271413,2271413,1734517,989207,270961,85098,326,85098,2271413,58.72,9322,5246,71,153,1416.61
298,G001830135,10069,3,0.0003,910,857,118,genus,0.85,0.8,0.46,0.07,0.15,0.79,0.63,False,k__Bacteria (UID3187),2258,181,110,37.26,3.27,0.0,852988,26672,118,389,7148,4623,7228,2124,16633,16633,40.71,1.05,79.67,11,882,88,87,6,0,0,0,,118,118,110,17,0,0,852988,852988,814778,206557,0,0,118,16633,852988,40.71,7148,5701,44,78,3126.89
299,G000717335,10069,2,0.0002,9318,9261,131,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,o__Actinomycetales (UID2014),33,350,203,100.0,1.4,0.0,10103604,0,136,136,241710,241710,74291,74291,518515,518515,69.12,2.4,89.86,11,9388,0,346,4,0,0,0,,136,93,73,67,60,51,10103604,10085917,10051446,10000218,9873067,9550328,136,518515,10103604,69.12,241710,123340,14,29,0.0
300,G001422605,10069,1,0.0001,4686,4603,27,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.96,True,f__Enterobacteriaceae (UID5054),223,876,305,99.52,0.92,20.0,5115519,48,27,28,483606,483603,189463,182695,629631,629625,59.08,3.86,86.15,11,4607,5,866,5,0,0,0,,27,27,20,18,17,16,5115519,5115519,5100353,5085591,5067021,5037282,27,629631,5115519,59.08,483606,235158,5,9,3.69
301,G000423405,10069,2,0.0002,2955,2934,57,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,s__algicola (UID2847),33,496,263,99.62,0.0,0.0,3205558,5411,59,63,338206,255939,54331,50795,562720,562720,35.16,4.74,90.57,11,2950,1,495,0,0,0,0,,59,59,26,17,14,13,3205558,3205558,3140363,3079457,3026343,2979333,59,562720,3205558,35.16,338206,141926,4,8,168.8
302,G000318295,10069,0,0.0,3116,3061,124,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.96,True,p__Bacteroidetes (UID2605),350,316,210,100.0,0.0,0.0,3218123,2300,127,242,81163,34098,25339,13288,253069,176397,38.52,4.78,90.88,11,3104,0,316,0,0,0,0,,127,110,67,54,36,20,3218123,3206172,3096690,3003781,2714551,2134903,127,253069,3218123,38.52,81163,36897,13,27,71.47
303,G900104395,10069,1,0.0001,2406,2346,85,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.95,True,k__Bacteria (UID2329),174,149,89,100.0,0.0,0.0,2550375,8858,87,94,52311,52213,29314,27037,214726,214726,34.0,3.19,90.07,11,2327,0,149,0,0,0,0,,87,85,68,56,36,14,2550375,2549686,2511132,2421078,2103340,1288055,87,214726,2550375,34.0,52311,32749,14,30,347.32
304,G001969385,10069,0,0.0,5163,5110,9,genus,0.9,0.89,0.84,0.03,0.06,0.99,0.88,False,f__Rhodobacteraceae (UID3361),46,654,332,99.17,0.68,33.33,5424264,0,9,9,4609584,4609584,602696,602696,4609584,4609584,66.62,4.85,88.97,11,5124,4,647,3,0,0,0,,9,9,9,9,8,6,5424264,5424264,5424264,5424264,5413076,5360135,9,4609584,5424264,66.62,4609584,4609584,1,1,0.0
305,G001789365,10069,0,0.0,998,916,39,phylum,0.86,0.79,0.29,0.03,0.06,0.89,0.71,True,k__Bacteria (UID203),5449,104,58,67.08,4.08,0.0,935885,1694,39,74,35715,29311,23997,12624,107485,107485,38.59,1.94,90.99,11,1021,23,75,6,0,0,0,,39,39,39,29,12,5,935885,935885,935885,866833,602959,363938,39,107485,935885,38.59,35715,18035,8,17,181.01
306,G001313205,10069,0,0.0,3787,3686,30,kingdom,1.0,0.97,0.0,0.0,0.0,0.98,0.95,True,o__Lactobacillales (UID463),75,376,160,89.78,1.41,0.0,2595250,0,30,30,222296,222296,86508,86508,458169,458169,46.5,3.02,83.11,11,4171,31,342,3,0,0,0,,30,28,20,20,16,14,2595250,2593667,2579159,2579159,2505315,2424587,30,458169,2595250,46.5,222296,158481,5,8,0.0
307,G000697965,10069,0,0.0,6899,6690,3,genus,0.91,0.89,0.15,0.2,0.51,0.89,0.79,True,f__Rhizobiaceae (UID3563),81,808,337,99.96,2.32,18.18,7267502,0,3,3,4071185,4071185,2422500,2422500,4071185,4071185,62.32,1.22,86.63,11,6840,1,796,11,0,0,0,,3,3,3,3,3,3,7267502,7267502,7267502,7267502,7267502,7267502,3,4071185,7267502,62.32,4071185,1736943,1,2,0.0
308,G000990275,10069,0,0.0,794,765,21,kingdom,1.0,0.96,0.0,0.0,0.0,0.93,0.9,True,k__Bacteria (UID2495),2993,143,89,78.84,0.0,0.0,768413,95,21,24,53260,50931,36591,32013,104535,104535,34.38,1.63,90.25,11,800,29,114,0,0,0,0,,21,21,21,19,13,6,768413,768413,768413,756029,650731,413672,21,104535,768413,34.38,53260,33838,6,11,12.36
309,G000145255,10069,1,0.0001,2899,2884,1,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.99,True,c__Betaproteobacteria (UID3959),235,418,210,99.37,0.78,80.0,3162471,0,1,1,3162471,3162471,3162471,3162471,3162471,3162471,52.75,0.0,91.11,11,2927,2,411,5,0,0,0,,1,1,1,1,1,1,3162471,3162471,3162471,3162471,3162471,3162471,1,3162471,3162471,52.75,3162471,3162471,1,1,0.0
